"sample","Time_start","flux_start","flux.CH4","R2.CH4","p.CH4","fDOY_end","file","flux_source","position","measurement_day_alt","month_alt","year_alt","measurement_day_actual","tag","t0","t1","t2","t3","directon","chamber","chamber_SA_cm2","soil_moisture","notes","measurement_day_altyr","avg_respT","campaign","species","ID_measurement"
"MD11",365.424305555556,2024-04-12 15:54:00,3038.66688441661,0.995665187846985,2.5368636535948e-109,365.425347222222,"f0020","m","low","1/01/2003",1,"2003","05/17/2022",2,29.6,29.7,30.8,NA,"E","med",83.32,NA,"Extender","/01/2003",30.0333333333333,"may22","Nasuti","MD11-2"
"MD11",365.4265625,2024-04-12 15:54:00,5386.76040168019,0.991431644864506,7.41120623317892e-96,365.427604166667,"f0020","m","mid","1/01/2003",1,"2003","05/17/2022",3,30.1,30,30.1,NA,"S","med",83.32,NA,"Extender","/01/2003",30.0666666666667,"may22","Nasuti","MD11-3"
"MD11",365.428819444444,2024-04-12 15:54:00,14782.7125955624,0.999190895542729,1.72031219812219e-142,365.429861111111,"f0020","m","low","1/01/2003",1,"2003","05/17/2022",4,31.2,31.8,32.1,NA,"W","med",83.32,NA,"Extender","/01/2003",31.7,"may22","Nasuti","MD11-4"
"MD11",365.430902777778,2024-04-12 15:54:00,8624.36275362464,0.998474796886782,5.79375553063757e-130,365.431944444444,"f0020","m","top","1/01/2003",1,"2003","05/17/2022",5,31.9,32.4,32.2,NA,"","med",83.32,NA,"Extender","/01/2003",32.1666666666667,"may22","Nasuti","MD11-5"
"MD11",365.433506944444,2024-04-12 15:54:00,19.4559484731048,0.146748519578679,0.000138502606168095,365.434548611111,"f0020","s","0","1/01/2003",1,"2003","05/17/2022",6,30.9,30.5,30.5,NA,"N","lg",183.85,NA,"Extender","/01/2003",30.6333333333333,"may22","Nasuti","MD11-6"
"MD11",365.435648148148,2024-04-12 15:54:00,0,0,0,365.436689814815,"f0020","s","1","1/01/2003",1,"2003","05/17/2022",7,31.5,32.2,32.6,NA,"N","lg",183.85,NA,"Extender","/01/2003",32.1,"may22","Nasuti","MD11-7"
"MD11",365.437847222222,2024-04-12 15:54:00,-37.1435782680128,0.551173370537032,1.64601761174421e-17,365.438888888889,"f0020","s","2","1/01/2003",1,"2003","05/17/2022",8,31.7,33.1,32.3,NA,"N","lg",183.85,NA,"Extender","/01/2003",32.3666666666667,"may22","Nasuti","MD11-8"
"MD12",396.422511574074,2024-04-12 08:47:00,2869.43646086172,0.99405470167143,4.44011652800605e-103,396.423553240741,"f0022","m","mid","2/01/2003",2,"2003","05/18/2022",1,25.7,24.3,24.2,NA,"N","med",83.32,NA,"Extender","/01/2003",24.7333333333333,"may22","Copto","MD12-1"
"MD12",396.424479166667,2024-04-12 08:47:00,333.369120916777,0.988812442824842,1.3837931559699e-90,396.425520833333,"f0022","m","low","2/01/2003",2,"2003","05/18/2022",2,24.3,24.3,24.6,NA,"E","med",83.32,NA,"Extender","/01/2003",24.4,"may22","Copto","MD12-2"
"MD12",396.426678240741,2024-04-12 08:47:00,1016.80867074211,0.998952828262927,2.14913596423735e-137,396.427719907407,"f0022","m","mid","2/01/2003",2,"2003","05/18/2022",3,25,27.2,28.2,NA,"S","med",83.32,NA,"Extender","/01/2003",26.8,"may22","Copto","MD12-3"
"MD12",396.428703703704,2024-04-12 08:47:00,556.963118043652,0.996524528381169,1.09167018743904e-113,396.42974537037,"f0022","m","low","2/01/2003",2,"2003","05/18/2022",4,25.2,25.5,26,NA,"W","med",83.32,NA,"Extender","/01/2003",25.5666666666667,"may22","Copto","MD12-4"
"MD12",396.430671296296,2024-04-12 08:47:00,533.333395397862,0.994147386158546,2.17216337329726e-103,396.431712962963,"f0022","m","top","2/01/2003",2,"2003","05/18/2022",5,25.9,26.6,27.2,NA,"","med",83.32,NA,"Extender","/01/2003",26.5666666666667,"may22","Copto","MD12-5"
"MD12",396.432986111111,2024-04-12 08:47:00,-38.118493835517,0.592370034449247,1.26382157094203e-19,396.434027777778,"f0022","s","0","2/01/2003",2,"2003","05/18/2022",6,28.9,26.9,26.9,NA,"N","lg",183.85,NA,"Extender","/01/2003",27.5666666666667,"may22","Copto","MD12-6"
"MD12",396.435011574074,2024-04-12 08:47:00,-74.4252403882827,0.796092468455928,3.53809906167579e-33,396.436053240741,"f0022","s","1","2/01/2003",2,"2003","05/18/2022",7,27.7,27.9,28,NA,"N","lg",183.85,NA,"Extender","/01/2003",27.8666666666667,"may22","Copto","MD12-7"
"MD12",396.437152777778,2024-04-12 08:47:00,-70.4350482331157,0.654774301693763,9.87286664868617e-23,396.438194444444,"f0022","s","2","2/01/2003",2,"2003","05/18/2022",8,26.2,26.1,26.5,NA,"N","lg",183.85,NA,"Extender","/01/2003",26.2666666666667,"may22","Copto","MD12-8"
"MD13",424.422511574074,2024-04-12 09:49:00,2215.49348595611,0.998507890551999,2.13537669496657e-130,424.423553240741,"f0023","m","mid","3/01/2003",3,"2003","05/18/2022",1,28.9,27.9,28.1,NA,"N","med",83.32,NA,"","/01/2003",28.3,"may22","Copto","MD13-1"
"MD13",424.424421296296,2024-04-12 09:49:00,1196.06438008637,0.994711227407627,2.16272147906743e-105,424.425462962963,"f0023","m","low","3/01/2003",3,"2003","05/18/2022",2,29.3,30.5,31.8,NA,"E","med",83.32,NA,"","/01/2003",30.5333333333333,"may22","Copto","MD13-2"
"MD13",424.426446759259,2024-04-12 09:49:00,1467.33424327393,0.9991522243063,1.43942884506262e-141,424.427488425926,"f0023","m","mid","3/01/2003",3,"2003","05/18/2022",3,28.6,28.7,29.2,NA,"S","med",83.32,NA,"","/01/2003",28.8333333333333,"may22","Copto","MD13-3"
"MD13",424.428645833333,2024-04-12 09:49:00,3421.78220003242,0.999732844717533,3.54859176476591e-166,424.4296875,"f0023","m","low","3/01/2003",3,"2003","05/18/2022",4,29.8,29.8,30.2,NA,"W","med",83.32,NA,"","/01/2003",29.9333333333333,"may22","Copto","MD13-4"
"MD13",424.430497685185,2024-04-12 09:49:00,812.338720469487,0.998709148777304,2.92662709244988e-133,424.431539351852,"f0023","m","top","3/01/2003",3,"2003","05/18/2022",5,30.6,31.1,30.9,NA,"","med",83.32,NA,"","/01/2003",30.8666666666667,"may22","Copto","MD13-5"
"MD13",424.432638888889,2024-04-12 09:49:00,96.3488790629282,0.913990790479325,2.89809425008097e-50,424.433680555556,"f0023","s","0","3/01/2003",3,"2003","05/18/2022",6,31.1,29.6,29.5,NA,"N","lg",183.85,NA,"","/01/2003",30.0666666666667,"may22","Copto","MD13-6"
"MD13",424.434548611111,2024-04-12 09:49:00,-50.5940083416053,0.724161397212834,1.80857941487391e-27,424.435590277778,"f0023","s","1","3/01/2003",3,"2003","05/18/2022",7,29.6,29.7,29.9,NA,"N","lg",183.85,NA,"","/01/2003",29.7333333333333,"may22","Copto","MD13-7"
"MD13",424.436458333333,2024-04-12 09:49:00,-33.2664761918992,0.469207476236436,2.6585383470318e-14,424.4375,"f0023","s","2","3/01/2003",3,"2003","05/18/2022",8,28.5,28.3,28.6,NA,"N","lg",183.85,NA,"","/01/2003",28.4666666666667,"may22","Copto","MD13-8"
"MD14",455.42337962963,2024-04-12 10:43:00,311.871059941526,0.993613503214828,1.15356022735724e-101,455.424421296296,"f0025","m","mid","4/01/2003",4,"2003","05/18/2022",1,33.5,34.3,34.1,NA,"N","med",83.32,NA,"Extender, accidentally put a worker from mound 16 into this mound 14. both are suspected to be coptotermes","/01/2003",33.9666666666667,"may22","Copto","MD14-1"
"MD14",455.425694444444,2024-04-12 10:43:00,391.913195174345,0.985537980358874,1.63960101824792e-85,455.426736111111,"f0025","m","low","4/01/2003",4,"2003","05/18/2022",2,33.1,29.9,29.8,NA,"E","med",83.32,NA,"Extender, accidentally put a worker from mound 16 into this mound 14. both are suspected to be coptotermes","/01/2003",30.9333333333333,"may22","Copto","MD14-2"
"MD14",455.427893518519,2024-04-12 10:43:00,5506.98394853082,0.999697800890937,1.02900271554067e-163,455.428935185185,"f0025","m","mid","4/01/2003",4,"2003","05/18/2022",3,33.1,33.7,32.2,NA,"S","med",83.32,NA,"Extender, accidentally put a worker from mound 16 into this mound 14. both are suspected to be coptotermes","/01/2003",33,"may22","Copto","MD14-3"
"MD14",455.429976851852,2024-04-12 10:43:00,6789.49593104915,0.998114602575753,8.96312857364632e-126,455.431018518518,"f0025","m","low","4/01/2003",4,"2003","05/18/2022",4,31.4,31.8,31.7,NA,"W","med",83.32,NA,"Extender, accidentally put a worker from mound 16 into this mound 14. both are suspected to be coptotermes","/01/2003",31.6333333333333,"may22","Copto","MD14-4"
"MD14",455.433159722222,2024-04-12 10:43:00,1448.92188559622,0.998764444918765,3.99222503209243e-134,455.434201388889,"f0025","m","top","4/01/2003",4,"2003","05/18/2022",5,32.5,32.4,33,NA,"","med",83.32,NA,"Extender, accidentally put a worker from mound 16 into this mound 14. both are suspected to be coptotermes","/01/2003",32.6333333333333,"may22","Copto","MD14-5"
"MD14",455.435532407407,2024-04-12 10:43:00,-49.1799365706121,0.772923283986553,4.80452056525489e-31,455.436574074074,"f0025","s","0","4/01/2003",4,"2003","05/18/2022",6,41.3,42.5,42.7,NA,"N","lg",183.85,NA,"Extender, accidentally put a worker from mound 16 into this mound 14. both are suspected to be coptotermes","/01/2003",42.1666666666667,"may22","Copto","MD14-6"
"MD14",455.43755787037,2024-04-12 10:43:00,-58.9139579500765,0.777278418032166,1.9851555797068e-31,455.438599537037,"f0025","s","1","4/01/2003",4,"2003","05/18/2022",7,35.6,34.8,34.9,NA,"N","lg",183.85,NA,"Extender, accidentally put a worker from mound 16 into this mound 14. both are suspected to be coptotermes","/01/2003",35.1,"may22","Copto","MD14-7"
"MD14",455.439641203704,2024-04-12 10:43:00,-67.6239693355655,0.805249760563879,4.34898241967349e-34,455.44068287037,"f0025","s","2","4/01/2003",4,"2003","05/18/2022",8,33.5,33.4,33.7,NA,"N","lg",183.85,NA,"Extender, accidentally put a worker from mound 16 into this mound 14. both are suspected to be coptotermes","/01/2003",33.5333333333333,"may22","Copto","MD14-8"
"MD15",485.422685185185,2024-04-12 12:07:00,7252.99879199894,0.995184502977961,2.09596161209055e-108,485.423726851852,"f0026","m","mid","5/01/2003",5,"2003","05/18/2022",1,38.3,39.5,39.8,NA,"N","med",83.32,NA,"","/01/2003",39.2,"may22","Ami","MD15-1"
"MD15",485.424594907407,2024-04-12 12:07:00,4033.16454005746,0.997354101233777,4.45523768163661e-119,485.425636574074,"f0026","m","mid","5/01/2003",5,"2003","05/18/2022",2,36.7,35.9,35.8,NA,"S","med",83.32,NA,"","/01/2003",36.1333333333333,"may22","Ami","MD15-2"
"MD15",485.426851851852,2024-04-12 12:07:00,-68.2900173442916,0.897755958095399,7.63213953492341e-47,485.427893518519,"f0026","s","0","5/01/2003",5,"2003","05/18/2022",3,37.3,35.6,35.8,NA,"N","lg",183.85,NA,"","/01/2003",36.2333333333333,"may22","Ami","MD15-3"
"MD15",485.428877314815,2024-04-12 12:07:00,-51.6201309162385,0.818734830606363,1.64789721923459e-35,485.429918981481,"f0026","s","1","5/01/2003",5,"2003","05/18/2022",4,38.2,39.5,39.1,NA,"N","lg",183.85,NA,"","/01/2003",38.9333333333333,"may22","Ami","MD15-4"
"MD15",485.430902777778,2024-04-12 12:07:00,-61.9071589555512,0.859814604581081,1.34351275345329e-40,485.431944444444,"f0026","s","2","5/01/2003",5,"2003","05/18/2022",5,39.1,39.4,39,NA,"N","lg",183.85,NA,"","/01/2003",39.1666666666667,"may22","Ami","MD15-5"
"MD16",516.423784722222,NA,39.9030838359995,0.861566502808427,7.57371286945481e-41,516.424826388889,"f0027","m","mid","6/01/2003",6,"2003","05/18/2022",1,35.9,37.8,37.5,NA,"N","med",83.32,NA,"Extender","/01/2003",37.0666666666667,"may22","Copto","MD16-1"
"MD16",516.425868055556,NA,2806.24340124013,0.999170069105061,5.46777439966873e-142,516.426909722222,"f0027","m","low","6/01/2003",6,"2003","05/18/2022",2,34,33.9,34.7,NA,"E","med",83.32,NA,"Extender","/01/2003",34.2,"may22","Copto","MD16-2"
"MD16",516.427951388889,NA,909.810943354195,0.997832072086177,2.38445852079195e-124,516.428993055556,"f0027","m","mid","6/01/2003",6,"2003","05/18/2022",3,34.3,33.5,32.9,NA,"S","med",83.32,NA,"Extender","/01/2003",33.5666666666667,"may22","Copto","MD16-3"
"MD16",516.429976851852,NA,2141.27267388174,0.99929718325731,2.83590157190407e-145,516.431018518518,"f0027","m","low","6/01/2003",6,"2003","05/18/2022",4,35.9,37.9,37.9,NA,"W","med",83.32,NA,"Extender","/01/2003",37.2333333333333,"may22","Copto","MD16-4"
"MD16",516.432060185185,NA,360.819067157396,0.997162132043747,1.0788833143543e-117,516.433101851852,"f0027","m","top","6/01/2003",6,"2003","05/18/2022",5,35.1,35.2,35.3,NA,"","med",83.32,NA,"Extender","/01/2003",35.2,"may22","Copto","MD16-5"
"MD16",516.434490740741,NA,143.776569416942,0.965715802012926,1.8854400116128e-68,516.435532407407,"f0027","s","0","6/01/2003",6,"2003","05/18/2022",6,37.4,36.7,36.9,NA,"N","lg",183.85,NA,"Extender","/01/2003",37,"may22","Copto","MD16-6"
"MD16",516.436574074074,NA,34.7342855493888,0.657906372374549,6.50646461637264e-23,516.437615740741,"f0027","s","1","6/01/2003",6,"2003","05/18/2022",7,35.6,34.7,34.2,NA,"N","lg",183.85,NA,"Extender","/01/2003",34.8333333333333,"may22","Copto","MD16-7"
"MD16",516.438541666667,NA,-54.9799718816263,0.843204890833477,2.21322125281984e-38,516.439583333333,"f0027","s","2","6/01/2003",6,"2003","05/18/2022",8,38.2,41,40.9,NA,"N","lg",183.85,NA,"Extender","/01/2003",40.0333333333333,"may22","Copto","MD16-8"
"MD17",546.424421296296,2024-04-12 14:39:00,9501.04734951336,0.999547276491798,5.77731564106461e-154,546.425462962963,"f0028","m","mid","7/01/2003",7,"2003","05/18/2022",1,34.5,35.6,35.7,NA,"N","med",83.32,NA,"","/01/2003",35.2666666666667,"may22","Macro","MD17-1"
"MD17",546.426388888889,2024-04-12 14:39:00,13590.9495559285,0.999363745491493,3.0659581012747e-147,546.427430555556,"f0028","m","low","7/01/2003",7,"2003","05/18/2022",2,31.7,31.3,31,NA,"E","med",83.32,NA,"","/01/2003",31.3333333333333,"may22","Macro","MD17-2"
"MD17",546.428356481482,2024-04-12 14:39:00,9878.10885417095,0.99912382169836,1.89804728666079e-142,546.429398148148,"f0028","m","mid","7/01/2003",7,"2003","05/18/2022",3,32.1,33.2,33.6,NA,"S","med",83.32,NA,"","/01/2003",32.9666666666667,"may22","Macro","MD17-3"
"MD17",546.430671296296,2024-04-12 14:39:00,16490.152962533,0.999531350319978,2.78563783984283e-153,546.431712962963,"f0028","m","low","7/01/2003",7,"2003","05/18/2022",4,32.7,33,33.2,NA,"W","med",83.32,NA,"","/01/2003",32.9666666666667,"may22","Macro","MD17-4"
"MD17",546.432986111111,2024-04-12 14:39:00,252.953948235293,0.988152450525218,1.87869588370106e-89,546.434027777778,"f0028","s","0","7/01/2003",7,"2003","05/18/2022",5,34.8,33.3,33,NA,"N","lg",183.85,NA,"","/01/2003",33.7,"may22","Macro","MD17-5"
"MD17",546.435185185185,2024-04-12 14:39:00,11.3780216914267,0.163720366334824,5.75299025271405e-05,546.436226851852,"f0028","s","1","7/01/2003",7,"2003","05/18/2022",6,31.5,32.8,33.8,NA,"N","lg",183.85,NA,"","/01/2003",32.7,"may22","Macro","MD17-6"
"MD17",546.437152777778,2024-04-12 14:39:00,-42.0044111982005,0.703480841179607,9.42005916366555e-26,546.438194444444,"f0028","s","2","7/01/2003",7,"2003","05/18/2022",7,32.2,32.6,32.8,NA,"N","lg",183.85,NA,"","/01/2003",32.5333333333333,"may22","Macro","MD17-7"
"MD18",577.42181712963,2024-04-12 15:38:00,3046.80811688391,0.999267887233205,1.81836049808463e-144,577.422858796296,"f0029","m","mid","8/01/2003",8,"2003","05/18/2022",1,30.2,29,28.8,NA,"N","med",83.32,NA,"","/01/2003",29.3333333333333,"may22","Macro","MD18-1"
"MD18",577.423842592593,2024-04-12 15:38:00,722.610140923807,0.998967295516662,1.14118656878414e-137,577.424884259259,"f0029","m","low","8/01/2003",8,"2003","05/18/2022",2,28.3,28.5,28.7,NA,"E","med",83.32,NA,"","/01/2003",28.5,"may22","Macro","MD18-2"
"MD18",577.425983796296,2024-04-12 15:38:00,1666.61967446554,0.999015537085529,1.29421507665014e-138,577.427025462963,"f0029","m","mid","8/01/2003",8,"2003","05/18/2022",3,27.9,28.1,28.2,NA,"S","med",83.32,NA,"","/01/2003",28.0666666666667,"may22","Macro","MD18-3"
"MD18",577.428009259259,2024-04-12 15:38:00,816.254212836582,0.998750764672533,6.58878862099063e-134,577.429050925926,"f0029","m","low","8/01/2003",8,"2003","05/18/2022",4,27.9,27.9,29,NA,"W","med",83.32,NA,"","/01/2003",28.2666666666667,"may22","Macro","MD18-4"
"MD18",577.430381944444,2024-04-12 15:38:00,-124.591230567283,0.955327022856932,3.22088272500402e-63,577.431423611111,"f0029","s","0","8/01/2003",8,"2003","05/18/2022",5,28.6,27.4,27.3,NA,"N","lg",183.85,NA,"","/01/2003",27.7666666666667,"may22","Macro","MD18-5"
"MD18",577.432349537037,2024-04-12 15:38:00,-125.888237677435,0.967055318424501,3.07307717654078e-69,577.433391203704,"f0029","s","1","8/01/2003",8,"2003","05/18/2022",6,27.5,27.6,27.8,NA,"N","lg",183.85,NA,"","/01/2003",27.6333333333333,"may22","Macro","MD18-6"
"MD18",577.434375,2024-04-12 15:38:00,-45.368328803035,0.781991825371042,7.47900955557666e-32,577.435416666667,"f0029","s","2","8/01/2003",8,"2003","05/18/2022",7,27.4,27.6,28,NA,"N","lg",183.85,NA,"","/01/2003",27.6666666666667,"may22","Macro","MD18-7"
"MD2",59.4191782407407,2024-04-12 14:07:00,1127.21074000257,0.989177336358275,3.06014813127015e-91,59.4202199074074,"f0009","m","mid","3/01/2002",3,"2002","05/16/2022",1,36,36.4,36.2,NA,"N","med",83.32,NA,"","/01/2002",36.2,"may22","Copto","MD2-1"
"MD2",59.4215277777778,2024-04-12 14:07:00,2380.650467828,0.999520331840737,8.01934206404888e-153,59.4225694444444,"f0009","m","low","3/01/2002",3,"2002","05/16/2022",2,35,34.5,35.5,NA,"E","med",83.32,NA,"","/01/2002",35,"may22","Copto","MD2-2"
"MD2",59.4237847222222,2024-04-12 14:07:00,847.280462152116,0.998459697662141,9.07038335864032e-130,59.4248263888889,"f0009","m","mid","3/01/2002",3,"2002","05/16/2022",3,35.2,34.7,34.3,NA,"S","med",83.32,NA,"","/01/2002",34.7333333333333,"may22","Copto","MD2-3"
"MD2",59.4262152777778,2024-04-12 14:07:00,2873.38757048043,0.999356118634224,5.27265797898402e-147,59.4272569444444,"f0009","m","low","3/01/2002",3,"2002","05/16/2022",4,34.9,34.4,34.5,NA,"W","med",83.32,NA,"","/01/2002",34.6,"may22","Copto","MD2-4"
"MD2",59.4286458333333,2024-04-12 14:07:00,1538.16072849449,0.999457648645092,2.14345677911194e-150,59.4296875,"f0009","m","top","3/01/2002",3,"2002","05/16/2022",5,36.3,36.8,36.8,NA,"","med",83.32,NA,"","/01/2002",36.6333333333333,"may22","Copto","MD2-5"
"MD2",59.4313657407407,2024-04-12 14:07:00,238.024789274897,0.985283606141329,3.62526479379714e-85,59.4324074074074,"f0009","s","0","3/01/2002",3,"2002","05/16/2022",6,39,37.7,37.3,NA,"N","lg",183.85,NA,"","/01/2002",38,"may22","Copto","MD2-6"
"MD2",59.433912037037,2024-04-12 14:07:00,0,0,0,59.4349537037037,"f0009","s","1","3/01/2002",3,"2002","05/16/2022",7,34.8,34.8,34.9,NA,"N","lg",183.85,NA,"","/01/2002",34.8333333333333,"may22","Copto","MD2-7"
"MD2",59.4369212962963,2024-04-12 14:07:00,84.7887045079538,0.909357461924597,9.46921587136669e-50,59.437962962963,"f0009","s","2","3/01/2002",3,"2002","05/16/2022",8,35.6,35.8,35.7,NA,"N","lg",183.85,NA,"","/01/2002",35.7,"may22","Copto","MD2-8"
"MD20",638.421006944444,2024-04-12 09:00:00,0,0,0,638.422048611111,"f0033","m","mid","10/01/2003",10,"2003","05/19/2022",1,29.2,29.6,28.9,NA,"N","mini",20.43,NA,"arboreal nest, mini chamber, extra tubing (4.5m total), clay: d1 = 4.7. d2 = 4.2, h1 = 1.9, h2 = 1.8, tree DBH = 33cm","/01/2003",29.2333333333333,"may22","","MD20-1"
"MD21",669.422048611111,2024-04-12 09:42:00,953.229286760759,0.999298106071176,2.67133324712762e-145,669.423090277778,"f0034","m","mid","11/01/2003",11,"2003","05/19/2022",1,28.9,27.8,27.5,NA,"N","med",83.32,NA,"","/01/2003",28.0666666666667,"may22","Ami","MD21-1"
"MD21",669.423958333333,2024-04-12 09:42:00,1431.73214323914,0.999451626334046,3.5426455844377e-150,669.425,"f0034","m","low","11/01/2003",11,"2003","05/19/2022",2,28.7,29,29.7,NA,"S","med",83.32,NA,"","/01/2003",29.1333333333333,"may22","Ami","MD21-2"
"MD21",669.425810185185,2024-04-12 09:42:00,542.257260478845,0.997880453816641,1.84386158678393e-123,669.426851851852,"f0034","m","mid","11/01/2003",11,"2003","05/19/2022",3,28,28.3,28.4,NA,"W","med",83.32,NA,"","/01/2003",28.2333333333333,"may22","Ami","MD21-3"
"MD21",669.428125,2024-04-12 09:42:00,-8.65223592318014,0.0839814058002829,0.00483811946889128,669.429166666667,"f0034","s","0","11/01/2003",11,"2003","05/19/2022",4,30.8,29.2,29.2,NA,"N","lg",183.85,NA,"","/01/2003",29.7333333333333,"may22","Ami","MD21-4"
"MD21",669.429976851852,2024-04-12 09:42:00,-7.87241108364009,0.0767104398670252,0.007195945163612,669.431018518518,"f0034","s","1","11/01/2003",11,"2003","05/19/2022",5,28.3,28.9,28.9,NA,"N","lg",183.85,NA,"","/01/2003",28.7,"may22","Ami","MD21-5"
"MD21",669.431944444444,2024-04-12 09:42:00,-13.8679350565908,0.0859778124971452,0.00433841390957336,669.432986111111,"f0034","s","2","11/01/2003",11,"2003","05/19/2022",6,28.3,28.9,29.2,NA,"N","lg",183.85,NA,"","/01/2003",28.8,"may22","Ami","MD21-6"
"MD22",699.423206018518,2024-04-12 10:27:00,741.955372364062,0.999425248033663,3.00406704024946e-149,699.424247685185,"f0035","m","mid","12/01/2003",12,"2003","05/19/2022",1,29.2,29.4,29.4,NA,"E","med",83.32,NA,"","/01/2003",29.3333333333333,"may22","Ami","MD22-1"
